ZCTA20,TOTPOP,MEDFAMINC
04547,1145,71458.0
04548,868,101667.0
04551,815,102917.0
04553,1766,127344.0
04554,676,105469.0
04555,1554,102908.0
04556,1314,120729.0
04558,276,78977.0
04562,1961,118869.0
04563,1464,98750.0
04564,436,148646.0
04568,516,80625.0
04570,0,
04571,552,
04572,5178,74354.0
04573,460,93750.0
04574,1711,73000.0
04575,336,
04576,467,96250.0
04578,4657,91071.0
04579,3112,92628.0
04605,14686,82946.0
04606,1192,61339.0
04607,1308,79886.0
04609,5161,105192.0
04611,513,59063.0
04612,490,84554.0
04613,93,77734.0
04614,2797,62411.0
04616,745,81667.0
04617,725,85938.0
04619,3078,74394.0
04622,868,54519.0
04623,1124,78438.0
04624,136,52386.0
04625,52,66250.0
04626,517,105217.0
04627,2044,86905.0
04628,501,62500.0
04630,1377,63558.0
04631,1211,83289.0
04634,1964,66282.0
04635,10,
04640,2432,86635.0
04642,159,
04643,845,71154.0
04645,43,
04646,100,95625.0
04648,593,61786.0
04649,1206,72188.0
04650,280,184250.0
04652,1461,87250.0
04653,700,90795.0
04654,3385,64519.0
04655,924,69196.0
04657,322,88750.0
04658,1369,78333.0
04660,1102,103750.0
04662,487,146121.0
04664,1515,69688.0
04666,1324,70774.0
04667,1324,70417.0
04668,1741,61875.0
04669,144,91250.0
04671,626,70375.0
04673,186,
04674,313,77000.0
04675,83,159821.0
04676,1169,74337.0
04677,286,80000.0
04679,1496,97589.0
04680,1248,67717.0
04681,826,94917.0
04683,0,
04684,1756,93929.0
04685,417,96875.0
04686,191,61250.0
04691,515,52000.0
04693,434,93167.0
04694,2352,64318.0
04730,10092,74044.0
04732,1584,66875.0
04733,483,55529.0
04734,832,77174.0
04735,483,64444.0
04736,9022,68095.0
04737,0,
04739,791,71563.0
04740,1341,76583.0
04742,3323,80139.0
04743,4701,77083.0
